State,x,y
Andhra Pradesh,-152,-259
Arunachal Pradesh,334,165
Assam,295,105
Bihar,114,79
Chhattisgarh,-43,-67
Goa,-260,-261
Gujarat,-342,0
Haryana,-198,202
Himachal Pradesh,-156,298
Jammu Kashmir,-194,400
Jharkhand,76,13
Karnataka,-220,-339
Kerala,-194,-413
Madhya Pradesh,-198,-9
Maharashtra,-212,-129
Manipur,350,47
Meghalaya,276,73
Mizoram,324,-1
Nagaland,368,97
Odisha,86,-86
Punjab,-218,288
Rajasthan,-282,126
Sikkim,180,145
Tamil Nadu,-138,-387
Telangana,-134,-173
Tripura,286,7
Uttar Pradesh,-96,117
Uttarakhand,-106,234
West Bengal,176,-6
